Arrival rate1D,Finish rate1D,Num of unique resource1D,Process active time1D,Service time per case1D,Time in process per case1D,Waiting time in process per case1D,Num in process case1D
203,203,2,202.60000000000005,0.3761904761904759,1.0336734693877554,0.6574829931972794,0
83,83,2,81.68333333333335,0.4190763052208837,0.9841365461847392,0.5650602409638555,0
84,84,2,68.05000000000001,0.5402777777777779,0.8101190476190477,0.2698412698412699,0
105,105,2,93.26666666666668,0.4595238095238099,0.8882539682539683,0.4287301587301583,0
116,116,2,117.0333333333334,0.4563218390804595,1.008908045977012,0.5525862068965526,0
94,94,2,82.51666666666668,0.4991134751773049,0.8778368794326242,0.3787234042553193,0
116,116,2,119.85000000000008,0.4499999999999997,1.0331896551724145,0.5831896551724147,0
94,94,2,72.75000000000003,0.4774822695035462,0.7739361702127663,0.29645390070922,0
147,147,2,154.55000000000007,0.4453196347031968,1.058561643835617,0.61324200913242,0
117,117,2,106.53333333333336,0.4390313390313394,0.9105413105413108,0.4715099715099714,0
140,140,2,132.2333333333333,0.3815476190476191,0.9445238095238092,0.5629761904761901,0
202,202,2,190.21666666666664,0.3680341880341875,0.9754700854700852,0.6074358974358978,0
183,183,2,179.76666666666668,0.3396780303030304,1.0214015151515152,0.6817234848484848,0
214,214,2,221.49999999999991,0.3371980676328505,1.0700483091787436,0.7328502415458931,0
214,214,2,208.6,0.3297101449275358,1.0077294685990337,0.6780193236714976,0
84,84,2,86.39999999999998,0.4628968253968256,1.0285714285714282,0.5656746031746026,0
93,93,2,75.5,0.4856630824372763,0.8118279569892473,0.3261648745519709,0
127,127,2,112.4833333333333,0.3845833333333336,0.9373611111111108,0.5527777777777773,0
159,159,2,153.91666666666674,0.4179245283018866,0.9680293501048224,0.5501048218029356,0
159,159,2,147.08333333333334,0.3649122807017544,0.96765350877193,0.6027412280701754,0
170,170,2,172.36666666666673,0.3954732510288065,1.0639917695473255,0.6685185185185191,0
