act_ProcessNextdriverReq_avg_arrival,act_ProcessNextdriverReq_avg_duration,act_ProcessNextdriverReq_whole_duration,act_ProcessNextdriverReq_avgwaiting_time,act_ProcessNextdriverReq_wholewaiting_time,act_ProcessNextdriverReq_waiting_events,act_ProcessNextdriverReq_finished_events,act_ProcessNextdriverReq_idle_time,act_ProcessNextdriverReq_inprocess_events,act_ProcessNextdriverReq_unique_resources,act_ProcessNextdriverReq_engaged_resources
45,0.34055555555555556,15.333333333333334,0.7203703703703703,32.416666666666664,36,45,23.856944444444444,0,1,45
38,0.3488888888888889,13.266666666666667,0.8070175438596493,30.66666666666667,27,38,23.899444444444445,0,1,38
32,0.37222222222222223,11.916666666666666,0.29947916666666663,9.583333333333332,20,32,23.86277777777778,0,1,32
33,0.3661111111111111,12.083333333333334,0.506060606060606,16.7,21,33,23.898333333333333,0,1,33
53,0.34305555555555556,18.183333333333334,0.6147798742138365,32.583333333333336,43,53,23.850277777777777,0,1,53
28,0.37194444444444447,10.416666666666666,0.28154761904761905,7.883333333333333,18,28,23.963333333333335,0,1,28
36,0.3836111111111111,13.816666666666666,0.32037037037037036,11.533333333333333,19,36,23.912222222222223,0,1,36
56,0.3525,19.75,0.4732142857142857,26.5,43,56,23.829166666666666,0,1,56
41,0.36,14.766666666666667,0.43211382113821145,17.71666666666667,28,41,23.890833333333333,0,1,41
42,0.34555555555555556,14.516666666666667,0.4944444444444445,20.76666666666667,33,42,23.837777777777777,0,1,42
73,0.3244444444444444,23.7,0.9189497716894979,67.08333333333334,66,73,23.836944444444445,0,1,73
49,0.34,16.666666666666668,0.5996598639455782,29.383333333333333,41,49,23.863888888888887,0,1,49
62,0.3322222222222222,20.6,0.7325268817204302,45.41666666666667,53,62,23.837777777777777,0,1,62
68,0.31583333333333335,21.483333333333334,0.9982843137254901,67.88333333333333,65,68,23.841944444444444,0,1,68
28,0.3616666666666667,10.133333333333333,0.4059523809523809,11.366666666666665,19,28,23.90972222222222,0,1,28
37,0.37,13.7,0.254954954954955,9.433333333333335,23,37,23.92111111111111,0,1,37
46,0.33361111111111114,15.35,0.8898550724637682,40.93333333333334,38,46,23.906944444444445,0,1,46
55,0.33444444444444443,18.4,0.6603030303030303,36.31666666666666,47,55,23.8475,0,1,55
46,0.34055555555555556,15.666666666666666,0.665217391304348,30.600000000000005,36,46,23.908333333333335,0,1,46
63,0.3277777777777778,20.65,0.8460317460317462,53.30000000000001,55,63,23.843611111111112,0,1,63
