act_ProcessNextCarReq_avg_arrival,act_ProcessNextCarReq_avg_duration,act_ProcessNextCarReq_whole_duration,act_ProcessNextCarReq_avgwaiting_time,act_ProcessNextCarReq_wholewaiting_time,act_ProcessNextCarReq_waiting_events,act_ProcessNextCarReq_finished_events,act_ProcessNextCarReq_idle_time,act_ProcessNextCarReq_inprocess_events,act_ProcessNextCarReq_unique_resources,act_ProcessNextCarReq_engaged_resources
62,0.3433333333333333,21.3,0.7513440860215053,46.58333333333333,53,62,23.83388888888889,0,1,62
58,0.3547222222222222,20.583333333333332,0.5370689655172414,31.150000000000002,48,58,23.804166666666667,0,1,58
47,0.37472222222222223,17.616666666666667,0.4347517730496454,20.433333333333334,35,47,23.848055555555554,0,1,47
54,0.36194444444444446,19.55,0.4614197530864197,24.916666666666664,43,54,23.821944444444444,0,1,54
54,0.35055555555555556,18.933333333333334,0.5268518518518518,28.45,47,54,23.801666666666666,0,1,54
49,0.37333333333333335,18.3,0.3792517006802721,18.583333333333332,37,49,23.844444444444445,0,1,49
62,0.33694444444444444,20.9,0.7153225806451614,44.35000000000001,55,62,23.8125,0,1,62
53,0.3661111111111111,19.416666666666668,0.5025157232704403,26.633333333333333,42,53,23.831666666666667,0,1,53
73,0.3461111111111111,1.2833333333333334,0.5833333333333333,42.58333333333333,64,73,23.788333333333334,0,1,73
58,0.3502777777777778,20.316666666666666,0.6232758620689655,36.15,49,58,23.81972222222222,0,1,58
53,0.3463888888888889,18.366666666666667,0.6371069182389937,33.766666666666666,46,53,23.801111111111112,0,1,53
55,0.3427777777777778,18.866666666666667,0.7112121212121213,39.116666666666674,47,55,23.816944444444445,0,1,55
66,0.3327777777777778,21.966666666666665,0.8404040404040404,55.46666666666666,59,66,23.8175,0,1,66
67,0.33555555555555555,22.5,0.9017412935323382,60.416666666666664,58,67,23.808611111111112,0,1,67
62,0.34,21.083333333333332,0.7540322580645162,46.75000000000001,53,62,23.822777777777777,0,1,62
63,0.3383333333333333,21.316666666666666,0.7447089947089948,46.91666666666667,55,63,23.817777777777778,0,1,63
56,0.35055555555555556,19.633333333333333,0.6232142857142857,34.9,47,56,23.82111111111111,0,1,56
57,0.33805555555555555,19.283333333333335,0.8687134502923975,49.51666666666666,50,57,23.813333333333333,0,1,57
49,0.3522222222222222,17.266666666666666,0.5642857142857143,27.65,41,49,23.816111111111113,0,1,49
63,0.33416666666666667,21.066666666666666,0.8584656084656082,54.083333333333314,55,63,23.820833333333333,0,1,63
62,0.34444444444444444,21.366666666666667,0.6126344086021506,37.983333333333334,53,62,23.8225,0,1,62
67,0.3333333333333333,22.333333333333332,0.879353233830846,58.91666666666668,59,67,23.8175,0,1,67
61,0.3383333333333333,20.65,0.6868852459016395,41.900000000000006,53,61,23.8275,0,1,61
63,0.3383333333333333,21.316666666666666,0.7669312169312169,48.31666666666666,54,63,23.81888888888889,0,1,63
61,0.33555555555555555,20.483333333333334,0.7967213114754099,48.60000000000001,54,61,23.826666666666668,0,1,61
64,0.33305555555555555,21.316666666666666,0.8859375,56.7,56,64,23.825833333333332,0,1,64
44,0.3736111111111111,16.45,0.3943181818181818,17.349999999999998,34,44,23.843333333333334,0,1,44
61,0.33611111111111114,20.516666666666666,0.8371584699453551,51.06666666666666,54,61,23.82027777777778,0,1,61
58,0.3488888888888889,20.25,0.6250000000000001,36.25000000000001,49,58,23.8175,0,1,58
56,0.35333333333333333,19.8,0.5675595238095238,31.78333333333333,47,56,23.81861111111111,0,1,56
60,0.33944444444444444,20.366666666666667,0.6755555555555557,40.53333333333334,53,60,23.825277777777778,0,1,60
50,0.3552777777777778,17.766666666666666,0.5053333333333334,25.26666666666667,40,50,23.835833333333333,0,1,50
53,0.3447222222222222,18.283333333333335,0.6138364779874214,32.53333333333333,46,53,23.818055555555556,0,1,53
61,0.33555555555555555,20.483333333333334,0.7601092896174864,46.36666666666667,54,61,23.79277777777778,0,1,61
59,0.335,19.766666666666666,0.7268361581920904,42.88333333333333,53,59,23.803055555555556,0,1,59
54,0.3472222222222222,18.75,0.6021604938271605,32.516666666666666,46,54,23.831944444444446,0,1,54
44,0.3680555555555556,16.2,0.4151515151515152,18.26666666666667,34,44,23.848055555555554,0,1,44
62,0.34833333333333333,21.6,0.7115591397849461,44.11666666666666,53,62,23.789722222222224,0,1,62
67,0.3338888888888889,22.383333333333333,0.9283582089552239,62.2,59,67,23.816388888888888,0,1,67
68,0.34833333333333333,23.7,0.6269607843137255,42.63333333333333,58,68,23.795277777777777,0,1,68
48,0.3452777777777778,16.583333333333332,0.6982638888888889,33.516666666666666,40,48,23.82638888888889,0,1,48
53,0.3661111111111111,19.416666666666668,0.4279874213836478,22.683333333333334,41,53,23.84,0,1,53
