act_DoneCarReq_avg_arrival,act_DoneCarReq_avg_duration,act_DoneCarReq_whole_duration,act_DoneCarReq_avgwaiting_time,act_DoneCarReq_wholewaiting_time,act_DoneCarReq_waiting_events,act_DoneCarReq_finished_events,act_DoneCarReq_idle_time,act_DoneCarReq_inprocess_events,act_DoneCarReq_unique_resources,act_DoneCarReq_engaged_resources
61,0.0,0.0,0.0,0.0,0,61,0.16416666666666666,0,1,61
63,0.0,0.0,0.0,0.0,0,63,0.15555555555555556,0,1,63
61,0.0,0.0,0.0,0.0,0,61,0.16055555555555556,0,1,61
64,0.0,0.0,0.0,0.0,0,64,0.15694444444444444,0,1,64
44,0.0,0.0,0.0,0.0,0,44,0.2152777777777778,0,1,44
61,0.0,0.0,0.0,0.0,0,61,0.15472222222222223,0,1,61
58,0.0,0.0,0.0,0.0,0,58,0.16472222222222221,0,1,58
56,0.0,0.0,0.0,0.0,0,56,0.17055555555555554,0,1,56
60,0.0,0.0,0.0,0.0,0,60,0.16277777777777777,0,1,60
50,0.0,0.0,0.0,0.0,0,50,0.18944444444444444,0,1,50
53,0.0,0.0,0.0,0.0,0,53,0.16111111111111112,0,1,53
61,0.0,0.0,0.0,0.0,0,61,0.12666666666666668,0,1,61
59,0.0,0.0,0.0,0.0,0,59,0.1361111111111111,0,1,59
54,0.0,0.0,0.0,0.0,0,54,0.17722222222222223,0,1,54
44,0.0,0.0,0.0,0.0,0,44,0.21416666666666667,0,1,44
62,0.0,0.0,0.0,0.0,0,62,0.1361111111111111,0,1,62
67,0.0,0.0,0.0,0.0,0,67,0.14833333333333334,0,1,67
68,0.0,0.0,0.0,0.0,0,68,0.14222222222222222,0,1,68
48,0.0,0.0,0.0,0.0,0,48,0.16944444444444445,0,1,48
53,0.0,0.0,0.0,0.0,0,53,0.20472222222222222,0,1,53
